pecha_id,source_batch,has_tsawa_layer,n_spans,n_isverse_true,n_isverse_false,n_isverse_missing,base_chars,tsawa_chars_sum,tsawa_chars_union,coverage_pct,avg_span_len,median_span_len,n_zero_length,n_inverted,n_out_of_bounds,n_overlap_pairs,n_spans_overlapping,parse_status,notes,opf_root,tsawa_path,base_path
I11440433,new,False,0,0,0,0,68799,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I11440433.opf/I11440433.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I11440433.opf/I11440433.opf/base/v001.txt
I130B5D0F,new,False,0,0,0,0,82233,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I130B5D0F.opf/I130B5D0F.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I130B5D0F.opf/I130B5D0F.opf/base/v001.txt
I1561B2F5,new,False,0,0,0,0,13012,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1561B2F5.opf/I1561B2F5.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1561B2F5.opf/I1561B2F5.opf/base/v001.txt
I163178A0,new,True,2,0,2,0,7522,56,56,0.744483,28.0,28.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I163178A0.opf/I163178A0.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I163178A0.opf/I163178A0.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I163178A0.opf/I163178A0.opf/base/v001.txt
I1637B774,new,True,438,0,438,0,27637,4014,4014,14.524008,9.185,6.0,1,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1637B774.opf/I1637B774.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I1637B774.opf/I1637B774.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I1637B774.opf/I1637B774.opf/base/v001.txt
I1649804C,new,False,0,0,0,0,40079,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1649804C.opf/I1649804C.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1649804C.opf/I1649804C.opf/base/v001.txt
I197F351D,new,False,0,0,0,0,45310,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I197F351D.opf/I197F351D.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I197F351D.opf/I197F351D.opf/base/v001.txt
I19A08A51,new,True,18,16,2,0,14897,3130,3130,21.010942,173.889,238.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I19A08A51.opf/I19A08A51.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I19A08A51.opf/I19A08A51.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I19A08A51.opf/I19A08A51.opf/base/v001.txt
I1CC06C39,new,False,0,0,0,0,135290,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1CC06C39.opf/I1CC06C39.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1CC06C39.opf/I1CC06C39.opf/base/v001.txt
I1DCBD5CC,new,True,8,8,0,0,151607,879,879,0.579789,109.875,105.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I1DCBD5CC.opf/I1DCBD5CC.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I1DCBD5CC.opf/I1DCBD5CC.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I1DCBD5CC.opf/I1DCBD5CC.opf/base/v001.txt
I2133CA39,new,True,197,197,0,0,299998,31868,31868,10.622737,161.766,123.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2133CA39.opf/I2133CA39.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I2133CA39.opf/I2133CA39.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I2133CA39.opf/I2133CA39.opf/base/v001.txt
I23323023,new,True,207,69,138,0,84969,24854,24854,29.250668,120.068,109.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I23323023.opf/I23323023.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I23323023.opf/I23323023.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I23323023.opf/I23323023.opf/base/v001.txt
I2342D649,new,False,0,0,0,0,453046,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2342D649.opf/I2342D649.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2342D649.opf/I2342D649.opf/base/v001.txt
I24EDBDA0,new,False,0,0,0,0,559845,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I24EDBDA0.opf/I24EDBDA0.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I24EDBDA0.opf/I24EDBDA0.opf/base/v001.txt
I2522EBB0,new,False,0,0,0,0,29975,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2522EBB0.opf/I2522EBB0.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2522EBB0.opf/I2522EBB0.opf/base/v001.txt
I25463E37,new,True,156,29,127,0,162273,4806,4806,2.961676,30.808,29.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I25463E37.opf/I25463E37.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I25463E37.opf/I25463E37.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I25463E37.opf/I25463E37.opf/base/v001.txt
I2618C5EC,new,False,0,0,0,0,84690,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2618C5EC.opf/I2618C5EC.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2618C5EC.opf/I2618C5EC.opf/base/v001.txt
I27E347E9,new,True,25,14,11,0,402984,3197,3197,0.793332,127.88,93.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I27E347E9.opf/I27E347E9.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I27E347E9.opf/I27E347E9.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I27E347E9.opf/I27E347E9.opf/base/v001.txt
I27F687A4,new,False,0,0,0,0,87045,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I27F687A4.opf/I27F687A4.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I27F687A4.opf/I27F687A4.opf/base/v001.txt
I29CFF9F3,new,False,0,0,0,0,281600,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I29CFF9F3.opf/I29CFF9F3.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I29CFF9F3.opf/I29CFF9F3.opf/base/v001.txt
I29E8AA65,new,False,0,0,0,0,270007,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I29E8AA65.opf/I29E8AA65.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I29E8AA65.opf/I29E8AA65.opf/base/v001.txt
I2B02A144,new,False,0,0,0,0,560215,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2B02A144.opf/I2B02A144.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2B02A144.opf/I2B02A144.opf/base/v001.txt
I2BC62A6F,new,False,0,0,0,0,177286,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2BC62A6F.opf/I2BC62A6F.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2BC62A6F.opf/I2BC62A6F.opf/base/v001.txt
I2D0F4FAF,new,False,0,0,0,0,30011,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2D0F4FAF.opf/I2D0F4FAF.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2D0F4FAF.opf/I2D0F4FAF.opf/base/v001.txt
I2D96E5C8,new,True,15,14,1,0,570550,2717,2717,0.476207,181.133,121.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2D96E5C8.opf/I2D96E5C8.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I2D96E5C8.opf/I2D96E5C8.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I2D96E5C8.opf/I2D96E5C8.opf/base/v001.txt
I2E02CF4A,new,False,0,0,0,0,102690,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2E02CF4A.opf/I2E02CF4A.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2E02CF4A.opf/I2E02CF4A.opf/base/v001.txt
I2E52374B,new,False,0,0,0,0,100711,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2E52374B.opf/I2E52374B.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2E52374B.opf/I2E52374B.opf/base/v001.txt
I2EAAF38A,new,True,65,63,2,0,133233,7315,7315,5.490382,112.538,115.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2EAAF38A.opf/I2EAAF38A.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I2EAAF38A.opf/I2EAAF38A.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I2EAAF38A.opf/I2EAAF38A.opf/base/v001.txt
I2F35E7CC,new,False,0,0,0,0,13464,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2F35E7CC.opf/I2F35E7CC.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2F35E7CC.opf/I2F35E7CC.opf/base/v001.txt
I2FCD4B1D,new,True,2,2,0,0,674216,343,343,0.050874,171.5,171.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I2FCD4B1D.opf/I2FCD4B1D.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I2FCD4B1D.opf/I2FCD4B1D.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I2FCD4B1D.opf/I2FCD4B1D.opf/base/v001.txt
I319DAFF7,new,True,18,16,2,0,6503,2317,2317,35.629709,128.722,156.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I319DAFF7.opf/I319DAFF7.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I319DAFF7.opf/I319DAFF7.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I319DAFF7.opf/I319DAFF7.opf/base/v001.txt
I31F3338B,new,False,0,0,0,0,12232,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I31F3338B.opf/I31F3338B.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I31F3338B.opf/I31F3338B.opf/base/v001.txt
I32431963,new,False,0,0,0,0,21239,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I32431963.opf/I32431963.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I32431963.opf/I32431963.opf/base/v001.txt
I330D366C,new,False,0,0,0,0,129105,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I330D366C.opf/I330D366C.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I330D366C.opf/I330D366C.opf/base/v001.txt
I33763376,new,False,0,0,0,0,111066,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I33763376.opf/I33763376.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I33763376.opf/I33763376.opf/base/v001.txt
I340B9EC1,new,False,0,0,0,0,30365,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I340B9EC1.opf/I340B9EC1.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I340B9EC1.opf/I340B9EC1.opf/base/v001.txt
I344D2A4C,new,True,4,0,4,0,14162,185,185,1.306313,46.25,56.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I344D2A4C.opf/I344D2A4C.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I344D2A4C.opf/I344D2A4C.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I344D2A4C.opf/I344D2A4C.opf/base/v001.txt
I3495B87B,new,False,0,0,0,0,15228,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3495B87B.opf/I3495B87B.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3495B87B.opf/I3495B87B.opf/base/v001.txt
I36A7A668,new,True,84,82,2,0,360191,10195,10195,2.830443,121.369,119.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I36A7A668.opf/I36A7A668.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I36A7A668.opf/I36A7A668.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I36A7A668.opf/I36A7A668.opf/base/v001.txt
I3B871A64,new,False,0,0,0,0,26690,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3B871A64.opf/I3B871A64.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3B871A64.opf/I3B871A64.opf/base/v001.txt
I3D257F64,new,False,0,0,0,0,160319,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3D257F64.opf/I3D257F64.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3D257F64.opf/I3D257F64.opf/base/v001.txt
I3D6910F9,new,False,0,0,0,0,147301,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3D6910F9.opf/I3D6910F9.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3D6910F9.opf/I3D6910F9.opf/base/v001.txt
I3F4A91F5,new,True,58,56,2,0,330806,5273,5273,1.593986,90.914,78.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I3F4A91F5.opf/I3F4A91F5.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I3F4A91F5.opf/I3F4A91F5.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I3F4A91F5.opf/I3F4A91F5.opf/base/v001.txt
I40E5024E,new,True,45,41,4,0,198256,6905,6905,3.482871,153.444,153.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I40E5024E.opf/I40E5024E.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I40E5024E.opf/I40E5024E.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I40E5024E.opf/I40E5024E.opf/base/v001.txt
I41DA990D,new,False,0,0,0,0,20983,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I41DA990D.opf/I41DA990D.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I41DA990D.opf/I41DA990D.opf/base/v001.txt
I4232A561,new,False,0,0,0,0,25678,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4232A561.opf/I4232A561.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4232A561.opf/I4232A561.opf/base/v001.txt
I43575A14,new,False,0,0,0,0,64884,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I43575A14.opf/I43575A14.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I43575A14.opf/I43575A14.opf/base/v001.txt
I44B84506,new,False,0,0,0,0,209052,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I44B84506.opf/I44B84506.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I44B84506.opf/I44B84506.opf/base/v001.txt
I45222122,new,False,0,0,0,0,292571,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I45222122.opf/I45222122.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I45222122.opf/I45222122.opf/base/v001.txt
I454D2699,new,True,46,46,0,0,78275,12304,12304,15.71894,267.478,102.5,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I454D2699.opf/I454D2699.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I454D2699.opf/I454D2699.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I454D2699.opf/I454D2699.opf/base/v001.txt
I4A6AC1AA,new,False,0,0,0,0,28737,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4A6AC1AA.opf/I4A6AC1AA.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4A6AC1AA.opf/I4A6AC1AA.opf/base/v001.txt
I4ABDA91A,new,False,0,0,0,0,521338,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4ABDA91A.opf/I4ABDA91A.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4ABDA91A.opf/I4ABDA91A.opf/base/v001.txt
I4B1806B4,new,True,69,68,1,0,204827,16406,16406,8.009686,237.768,194.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4B1806B4.opf/I4B1806B4.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I4B1806B4.opf/I4B1806B4.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I4B1806B4.opf/I4B1806B4.opf/base/v001.txt
I4BECA32D,new,False,0,0,0,0,281933,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4BECA32D.opf/I4BECA32D.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4BECA32D.opf/I4BECA32D.opf/base/v001.txt
I4C242C84,new,False,0,0,0,0,487134,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4C242C84.opf/I4C242C84.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4C242C84.opf/I4C242C84.opf/base/v001.txt
I4CAE7B8B,new,True,152,143,9,0,260997,33015,33015,12.649571,217.204,149.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4CAE7B8B.opf/I4CAE7B8B.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I4CAE7B8B.opf/I4CAE7B8B.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I4CAE7B8B.opf/I4CAE7B8B.opf/base/v001.txt
I4DFE9067,new,False,0,0,0,0,78679,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4DFE9067.opf/I4DFE9067.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4DFE9067.opf/I4DFE9067.opf/base/v001.txt
I4E0DAA7C,new,False,0,0,0,0,193815,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4E0DAA7C.opf/I4E0DAA7C.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4E0DAA7C.opf/I4E0DAA7C.opf/base/v001.txt
I4EE8C636,new,False,0,0,0,0,407949,0,0,0.0,,,0,0,0,0,0,no_tsawa_layer,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4EE8C636.opf/I4EE8C636.opf,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4EE8C636.opf/I4EE8C636.opf/base/v001.txt
I4FABF1F8,new,True,11,10,1,0,247608,1450,1450,0.585603,131.818,146.0,0,0,0,0,0,ok,,/Users/tenzinyonten/layer_detection/data/raw_opf/I4FABF1F8.opf/I4FABF1F8.opf,/Users/tenzinyonten/layer_detection/data/raw_opf/I4FABF1F8.opf/I4FABF1F8.opf/layers/v001/Tsawa.yml,/Users/tenzinyonten/layer_detection/data/raw_opf/I4FABF1F8.opf/I4FABF1F8.opf/base/v001.txt
